Dutch,English
ik,I
je,you
het,it
de,the
is,is
dat,Which
een,a
niet,not
en,and
wat,what
van,from
we,we
in,in
ze,they
op,on
te,to
hij,he
zijn,to be
er,there
maar,but
me,me
die,That
heb,have got
voor,in front of
met,with
als,as
ben,am
was,used to be
mijn,my
u,you
dit,this
aan,On
om,to
hier,here
naar,to
dan,then
jij,you
zo,so
weet,know
ja,Yes
kan,can
geen,no
nog,yet
wel,well
wil,want
moet,must
goed,good
hem,him
hebben,to have
nee,No
heeft,has
waar,true
nu,now
hoe,how
ga,ga
kom,bowl
uit,from
gaan,to go
bent,are
haar,her
doen,to do
ook,also
mij,me
over,about
of,or
daar,there
zou,would
al,already
jullie,you
zal,shall
bij,Bee
ons,U.S
gaat,is going
hebt,have
meer,Lake
waarom,why
iets,something
deze,this one
laat,late
had,had
doe,do
m,m
moeten,should
wie,Who
jou,you
alles,everything
denk,think
kunnen,can
eens,once
echt,for real
weg,away
door,through
man,man
toch,However
zien,see
oké,Okay
alleen,only
nou,Well
dus,So
nooit,never
terug,back
laten,leave
mee,along
even,for a bit
hou,love
komt,coming
niets,nothing
zei,said
misschien,perhaps
kijk,look
iemand,someone
komen,come
tot,until
veel,a lot of
worden,to become
onze,our
mensen,people
zeg,say
leven,life
zeggen,say
weer,weather
gewoon,just
nodig,required
wij,we
twee,two
tijd,time
tegen,against
uw,your
toen,then
zit,is
net,just
weten,know
heel,very
maken,to make
wordt,is becoming
dood,death
mag,allowed
altijd,always
af,down
wacht,wait
geef,give
z,z
lk,l
dag,day
omdat,because
zeker,certainly
zie,see
allemaal,all of them
gedaan,done
oh,Oh
dank,thanks
huis,House
hé,Hey
zij,she
jaar,year
vader,father
doet,is doing
zoals,such as
jouw,your
vrouw,woman
geld,money
hun,their
mr,mr
god,God
kunt,can
keer,time
dacht,thought
erg,very
willen,want
anders,different
zitten,to sit
iedereen,everybody
één,a
andere,Others
zullen,shall
niks,nothing
niemand,no one
wilt,To
bedankt,thanks
binnen,within
beter,better
spijt,regret
maak,making
hallo,Hello
neem,take
vind,find
staat,state
werk,work
zich,herself
moeder,mother
gezien,seen
waren,goods
wilde,wanted to
praten,to talk
hele,all
genoeg,enough
meneer,Mr.
bedoel,mean
klaar,ready
vinden,find
kon,could
mooi,beautiful
leuk,fun
luister,listen
ziet,sees
toe,to
na,after
sorry,Sorry
elkaar,each other
blijf,stay
uur,hour
zegt,says
vast,fixed
drie,three
alsjeblieft,please
alle,all
natuurlijk,of course
maakt,makes
gek,crazy
helpen,help out
verdomme,damn
grote,great
lang,long
wist,knew
dingen,things
helemaal,all the way
graag,gladly
eerste,first
krijgen,to get
blijven,stay
werd,became
zonder,without
houden,to keep
naam,name
vriend,friend
kijken,look
beetje,bit
jongen,boy
steeds,ever
auto,car
goede,well
snel,fast
geven,to give
geweest,been
achter,behind
ooit,ever
wanneer,when
kinderen,children
onder,below
bang,anxious
ging,went
hand,hand
vertellen,to tell
eten,food
jongens,boys
hoor,hear
kwam,came
idee,idea
o,O
paar,couple
zag,saw
moest,had to
wereld,world
zorgen,to care
deed,did
gebeurd,happened
nieuwe,new ones
vraag,ask
morgen,tomorrow
staan,stand
vragen,questions
laatste,last
lijkt,seems
geweldig,awesome
want,because
vandaag,today
zelf,self
kun,you
nemen,take
beste,Best
heen,away
ie,ie
zelfs,even
meisje,girl
ken,ken
stop,Stop
rustig,quiet
enige,some
buiten,Outside
thuis,home
gezegd,said
kleine,little
geloof,faith
eerst,first
mannen,men
hadden,had
samen,together
vertel,tell
denken,to think
halen,get
hen,them
eigen,own
hoop,hope
zoon,son
krijg,receive
denkt,think
open,Open
probleem,issue
elke,each
zouden,would
horen,to hear
pak,business suit
geleden,ago
orde,order
wou,wanted
bijna,almost
gelijk,equal
vrienden,friends
kant,side
houdt,keeps
begrijp,understandable
politie,law enforcement
gebeurt,happens
eigenlijk,actually
soms,sometimes
wachten,to wait
kind,child
hoofd,head
vanavond,tonight
precies,exactly
geeft,gives
alsof,as if
ding,thing
voel,feel
gevonden,found it
probeer,try
zet,move
verder,further
help,Help
heet,hot
dagen,days
familie,family
haal,get
pas,only
werken,to work
volgende,next one
krijgt,gets
gehad,had
t,t
eruit,get out
gehoord,heard
zat,sat
bel,bell
hè,Hey
oude,old
vermoord,murdered
vijf,five
schiet,shoot
plaats,place
manier,way
stad,city
gemaakt,made
hoeveel,How much
ogen,eyes
best,best
zoek,Search
vroeg,early
word,become
jezelf,yourself
daarom,therefore
spelen,play
geloven,to believe
minuten,minutes
slecht,bad
school,school
pijn,pain
vindt,finds
moment,moment
blij,happy
welke,which
kamer,room
water,water
kans,opportunity
schat,treasure
dollar,dollar
land,country
vier,four
werkt,works
deur,door
brengen,bring
broer,brother
breng,bring
mooie,beautiful
zoeken,Search
lekker,yummy
later,later
wees,orphan
juist,right
vooruit,forward
klootzak,asshole
volgens,according to
alstublieft,Please
groot,big
ligt,lies
boven,above
ergens,somewhere
spreken,to speak
blijft,continues
papa,Daddy
prima,fine
handen,hands
sta,sta
tussen,between
praat,talking
vond,found
verteld,told
soort,kind
zoveel,this much
week,week
proberen,to attempt
problemen,issues
hulp,help
echte,real
kent,knows
vrouwen,women
vergeten,forget
plan,plan
mevrouw,Mrs.
dokter,doctor
pakken,to grab
beginnen,to start
nacht,night
kop,head
betekent,means
klopt,right
bed,bed
stoppen,stop
hoi,Hi
lopen,walk
klein,small
mama,mom
gebruiken,use
doden,kill
vrij,free
the,the
liefde,love
zult,shall
zorg,care
zaak,matter
los,loose
bellen,dial
ervan,it
mis,wrong
hart,heart
beneden,down
verhaal,story
wakker,awake
sir,sir
voordat,prior to
voorbij,past
leren,to learn
vol,full
tien,ten
slapen,to sleep
druk,pressure
zodat,so that
neer,down
nummer,number
hoeft,need
n,n
dochter,daughter
jezus,Jesus
foto,photo
vergeet,forgets
dicht,close
gelukkig,happy
snap,snap
zoiets,something
gekomen,come
baby,baby
gebeuren,to happen
ok,OK
jack,jack
moeilijk,difficult
meteen,right away
gezicht,face
dr,dr
stel,set
sinds,since
zes,six
begin,get started
plek,place
drinken,drink
hey,hey
vermoorden,murder
zaken,Affairs
begrepen,understood
ver,far
hetzelfde,the same
ander,other
bezig,busy
john,John
liggen,lie
per,per
oud,old
gaf,gave
eraan,it
eerder,earlier
baas,boss
agent,agent
oorlog,war
mond,mouth
waarschijnlijk,probably
film,movie
rust,peace
zeer,very
vallen,fall
sterven,to die
hond,dog
mogen,be allowed to
waarheid,truth
rond,round
geluk,luck
heren,Gentlemen
jaren,years
vent,guy
hoorde,heard
terwijl,while
mam,mam
avond,evening
nieuws,news
aardig,nice
maanden,months
welkom,welcome
veilig,safe
schatje,baby
fijn,nice
mogelijk,possible
stuk,piece
redden,to rescue
rest,rest
hoort,hears
he,Hey
bloed,blood
vriendin,girlfriend
stil,quiet
langs,along
eerlijk,fair
recht,straight
vandaan,from
ermee,it
betalen,Pay
voelt,feels
kennen,know
kerel,dude
schuld,debt
buurt,neighborhood
fout,wrong
reden,reason
ouders,parents
overal,everywhere
belangrijk,important
hard,hard
kapitein,captain
telefoon,phone
kreeg,received
duidelijk,clearly
new,new
a,a
pa,dad
mezelf,myself
woord,word
straks,later
boek,book
prachtig,magnificent
heer,lord
klinkt,sounds
erop,on
anderen,others
liet,showed
vanaf,from
vaak,often
baan,job
zin,sentence
eén,a
haat,hate
team,team
shit,shit
neemt,take
deel,part
voorzichtig,cautious
rijden,to drive
zetten,put
gegeven,given
geval,case
enkel,only
houd,love
president,president
licht,light
miljoen,million
lieverd,darling
liever,rather
tweede,second
geworden,become
stond,was standing
noemen,to mention
dezelfde,the same
erin,it
mrs,mrs
lichaam,body
dames,Ladies
miss,miss
ontmoeten,Meet
vechten,fight
trouwen,Marry
inderdaad,indeed
ontmoet,meets
kwaad,pissed off
meisjes,girls
weken,weeks
elk,each
verloren,lost
veranderen,change
nergens,nowhere
antwoord,answer
wapen,weapon
koning,king
valt,falls
grappig,funny
einde,end
hield,held
verdomde,damn
tijdens,while
schieten,shoot
ziens,Goodbye
nieuw,new
idioot,idiot
stap,step
plezier,pleasure
vertrouwen,trust
kwijt,lost
daarna,afterwards
maakte,made
mens,man
kopen,to buy
naartoe,more
pap,dad
vertelde,told
spel,game
loopt,runs
frank,frank
gevoel,feeling
begint,begins
koffie,coffee
ervoor,before
slechte,poor
eet,eat
ziek,ill
omhoog,up
winnen,to win
lucht,sky
ten,at
gang,corridor
trek,pull
fantastisch,fantastic
gegaan,gone
zichzelf,himself
acht,eight
goeie,good
leg,put
enkele,a few
meid,girl
gebruikt,used
oom,uncle
onzin,nonsense
gisteren,yesterday
getrouwd,married
eindelijk,Finally
voelen,to feel
york,york
men,one
zeven,seven
zus,sister
i,i
normaal,normal
woorden,words
nogal,quite
let,beware
oke,Okay
val,fall
muziek,music
gebeld,called
daarmee,therewith
herinner,remember
grond,ground
aarde,soil
verwacht,expected
vreemd,strange
verkeerd,wrong
hemel,sky
loop,course
meen,mean
nietwaar,not true
minder,less
hoezo,how so
droom,dream
beloof,promise
nam,took
waard,worth
kantoor,office
allebei,both
zomaar,No reason
s,s
pardon,excuse me
perfect,perfect
sam,sam
leeft,lives
gebruik,use
half,half
trots,pride
begrijpen,understand
stuur,handlebar
leger,army
wapens,weapons
vroeger,back in the days
kracht,power
erbij,there
vuur,fire
opnieuw,again
excuseer,excuse
lief,sweet
george,George
hierheen,here
gevangenis,jail
werden,were
da,da
lieve,dear
slaap,sleep
persoon,person
joe,joe
gevraagd,asked
bedoelt,mean
noem,call
ziekenhuis,Hospital
begon,began
tv,TV
serieus,serious
verlaten,leave
vertrekken,leave
moord,murder
konden,could
stomme,mute
gekregen,got
brengt,brings
lezen,read
tom,Tom
dansen,to dance
punt,point
komaan,come on
charlie,Charlie
grootste,main
slim,smart
gesproken,speaking
straat,street
ongeveer,about
sommige,some
amerika,America
stellen,set
verliezen,to lose
meest,most
eentje,one
generaal,general
spullen,stuff
zwarte,black
david,david
pistool,pistol
toekomst,future
bank,Bank
degene,the one
goedemorgen,good morning
langer,longer
slechts,only
informatie,information
schrijven,to write
ieder,each
verliefd,in love
veranderd,changed
probeerde,attempted
tenminste,at least
slaan,to beat
luisteren,listen
vliegtuig,plane
kwamen,came
begrijpt,understands
makkelijk,easy
boos,angry
boot,boat
geest,spirit
michael,michael
gingen,went
ter,to
ongeluk,accident
trouwens,Besides
succes,good luck
vliegen,fly
lange,long
maand,month
vraagt,asks
gebeurde,happened
kijkt,looks
meester,master
koud,cold
onderzoek,research
kleren,clothes
lul,dick
stom,stupid
spreek,speak
feest,party
jawel,Yes
weinig,few
liefje,sweetheart
schip,ship
behalve,except
vreselijk,horrible
bal,ball
hotel,hotel
controle,check
genomen,taken
wonen,live
honger,hunger
sterk,strongly
juiste,right
zak,bag
volgen,to follow
geheim,secret
probeert,try
ene,one
contact,Contact
verkopen,to sell
show,show
hoef,hoof
gedood,slain
welk,which
iedere,every
meter,meter
zolang,so long
sturen,send
rot,rot
begonnen,started
woont,lives
absoluut,absolutely
beschermen,to protect
bestaat,exists
dienst,shift
d,d
moe,tired
rug,back
geboren,born
naast,next
afgelopen,past
wegwezen,get out
bewijs,proof
lachen,laugh
jong,young
jonge,young
b,b
lijken,appear
erover,about
gered,saved
wilden,wild ones
voorstellen,introduce
reis,trip
advocaat,lawyer
afspraak,appointment
raak,striking
verkeerde,false
jimmy,Jimmy
schelen,care
gevaarlijk,dangerous
rij,queue
voelde,felt
gestolen,stolen
kolonel,colonel
maat,measure
volg,follow
gedacht,thought
dame,Lady
dragen,to wear
prijs,price
lukt,succeed
kont,ass
geleerd,learned
harry,harry
betaald,paid
speelt,plays
hel,hell
trekken,to pull
geraakt,hit
e,e
mocht,if
stem,voice
missen,to miss
jammer,Unfortunately
seks,sex
ma,mom
bekend,known
doel,target
amerikaanse,American
camera,camera
leuke,nice
helpt,help
regels,rules
gevaar,Danger
sla,lettuce
mike,Mike
erger,worse
red,red
raar,weird
derde,third
raken,touch
arme,poor
zweer,ulcer
vertrouw,trust
paul,paul
seconden,seconds
totdat,until
rennen,run
paard,horse
tafel,table
geweldige,great
sneller,faster
steek,sting
moesten,must
wagen,car
grapje,just kidding
groep,group
kaart,Map
moordenaar,killer
wedstrijd,contest
via,through
gefeliciteerd,congratulations
gaten,holes
macht,power
dom,stupid
nadat,after
leek,layman
raad,council
band,band
tuurlijk,of course
zover,so far
arm,arm
ruimte,space
gebracht,brought
meeste,most
dromen,to dream
zodra,as soon
zwaar,heavy
kerk,church
schuldig,guilty
bob,bob
rijk,rich
ziel,soul
geprobeerd,tried
oog,eye
vlucht,flight
vanuit,from
vorige,previous
allen,all
uh,uh
herinneren,remember
vooral,mostly
meiden,girls
eind,end
oma,grandmother
viel,fell
zuster,sister
gelooft,believes
wet,law
kapot,Broken
gooi,throw
haast,rush
gedachten,thoughts
negen,nine
bewijzen,prove
eer,honour
www,www
brief,letter
dronken,drunk
drugs,drugs
teken,sign
duurt,takes
sleutel,key
peter,Peter
onmogelijk,impossible
zee,sea
ouwe,old
namen,names
regel,rule
lijn,line
kost,costs